"DOY","Black_1","Black_2","Black_3","Black_4","Black_5","Black_6","Black_7","Black_8","Black_9","Black_10"
2023002,NA,0.0153,NA,0.0149,0.0154,0.0186,0.0163,0.016,0.0142,0.0198
2023330,NA,0.0212,NA,0.0363,0.0194,0.6426,0.0241,0.2668,0.0166,0.0129
2023323,0.0244,0.0208,0.0176,0.0181,0.0202,0.0179,0.0218,0.0195,0.0148,0.0217
2023322,NA,0.0189,NA,0.0174,0.018,0.4476,0.0151,0.0054,0.0025,0.0208
2023315,0.0268,0.0236,0.013,0.0064,0.024,0.0186,0.023,0.0202,0.0176,0.0161
2023314,NA,0.0085,NA,0.0073,0.0353,0.0208,0.0342,0.0134,0.0164,0.0018
2023307,0.0559,0.029,0.0299,0.0165,0.0186,0.0264,0.0317,0.0169,0.0806,0.0361
2023306,NA,0.0257,NA,0.0327,0.0238,0.0223,0.196,0.2553,0.0242,0.0683
2023299,0.3492,0.1172,0.6435,0.2518,0.0171,0.7197,0.1025,0.1493,0.0132,0.1126
2023298,NA,0.0204,NA,0.0235,0.0279,0.0049,0.0286,0.0232,0.0199,0.0278
2023291,0.0334,0.023,0.0198,0.0199,0.0234,0.0198,0.024,0.0202,0.0161,0.0236
2023290,NA,0.0216,NA,0.0176,0.0212,0.0171,0.0222,0.0181,0.0151,0.0232
2023283,0.0979,0.2301,0.0418,0.0279,0.3251,0.1216,0.2626,0.1652,0.0389,0.114
2023275,-0.0033,0.0261,0.0219,0.0651,0.1821,0.0212,0.177,0.0831,0.802,0.0248
2023274,NA,0.1461,NA,0.0319,-0.0152,0.0967,0.029,0.0451,NA,0.0264
2023267,0.0434,0.9393,0.11,0.9866,0.9462,0.9273,0.9158,0.9357,0.8269,1.0193
2023266,NA,0.0387,NA,0.0498,0.0416,0.0357,0.0292,0.0431,0.028,0.0617
2023259,0.0402,0.3913,0.0242,0.0618,0.0315,0.0615,0.3447,0.0898,0.0234,0.5637
2023258,NA,0.0257,NA,0.0229,0.0255,0.2279,0.0264,0.0223,0.0182,0.0252
2023251,0.0465,0.0306,0.0286,0.0289,0.03,0.0255,0.03,0.0256,0.0227,0.0297
2023250,NA,0.0282,NA,0.0297,0.0269,0.0234,0.0244,0.0233,0.0214,0.0283
2023243,0.0453,0.8089,0.0275,0.0585,1.0524,0.7851,0.3812,0.9736,0.0291,0.0387
2023242,NA,0.8686,NA,0.0393,0.8567,0.4934,0.9758,0.7733,0.5643,0.0444
2023235,0.9626,0.0343,0.0313,0.0328,0.0338,0.0278,0.0355,0.0249,0.0283,0.0347
2023234,NA,0.0376,NA,0.0374,0.0371,0.0315,0.0389,0.0333,0.0321,0.0421
2023227,0.3267,-0.0083,0.0271,0.0025,0.0434,0.0289,0.0341,0.0293,0.0374,0.0382
2023226,NA,0.02,NA,0.0327,0.0359,0.0317,0.0272,0.0736,0.1449,0.3482
2023219,0.051,0.033,0.0306,0.0299,0.0046,0.0301,0.1396,0.0999,0.626,0.0534
2023218,NA,0.0279,NA,0.0098,0.0258,0.0244,0.0287,0.0237,0.0202,0.0303
2023211,0.7256,0.9324,0.0051,0.0282,0.0199,0.0293,0.0346,0.0283,0.0353,0.1992
2023210,NA,0.0626,NA,0.1334,0.0584,0.0775,0.105,0.0861,0.1373,0.3147
2023203,0.0659,0.0699,0.0608,0.0367,0.0323,0.0309,0.4665,0.0303,0.0292,0.0391
2023202,NA,0.5038,NA,0.0667,0.4931,0.3617,0.319,0.5594,0.9394,0.1039
2023195,0.0576,0.0887,1.0621,0.0317,0.036,0.4387,0.0379,0.4937,0.0267,0.0426
2023194,NA,0.0325,NA,0.058,0.0308,-0.0152,0.1663,0.0292,0.0215,0.0368
2023187,0.0513,0.0237,0.0299,0.0319,0.0306,0.0311,0.0755,0.0104,0.0236,0.0364
2023186,NA,0.1361,NA,0.0269,0.0257,0.0264,0.0304,0.0259,0.028,0.0331
2023178,NA,0.0449,NA,0.0241,0.1092,0.0061,0.2417,0.825,0.0193,0.0317
2023171,0.57,0.0378,0.264,0.0345,0.04,0.0284,0.1297,0.0378,0.0295,0.0419
2023170,NA,0.0124,NA,0.0382,0.2049,0.2889,0.4693,0.976,0.1794,0.039
2023163,0.1404,-0.0906,0.0656,0.0182,0.0334,0.0313,0.3134,0.0295,0.0323,0.0345
2023162,NA,0.0341,NA,0.0275,0.0026,0.0337,0.033,0.224,0.0494,0.0312
2023154,NA,0.0632,NA,0.9864,0.0597,0.1571,0.6556,0.0481,0.3063,0.495
2023147,0.0846,0.371,0.0253,0.0125,0.0399,0.0321,0.0385,0.0298,0.0283,0.0017
2023146,NA,0.0257,NA,0.8123,0.791,0.0287,0.0064,8e-04,0.1462,0.0405
