"DOY","Red_1","Red_2","Red_3","Red_4","Red_5","Red_6","Red_7","Red_8","Red_9","Red_10"
2023002,NA,0.0483,NA,NA,NA,0.0112,NA,NA,NA,NA
2023330,NA,0.0426,NA,NA,NA,0.014,NA,NA,NA,NA
2023323,0.0106,0.0569,0.0123,0.0176,0.0105,0.0121,0.0132,0.0105,0.011,0.0117
2023322,NA,0.0534,NA,NA,NA,0.011,NA,NA,NA,NA
2023315,0.011,0.0083,0.0122,0.0174,0.0263,0.0861,0.0018,0.0107,0.0121,0.0268
2023314,NA,0.0438,NA,NA,NA,0.0562,NA,NA,NA,NA
2023307,0.0271,0.0732,0.028,0.0293,0.0654,0.0091,0.5583,0.5881,0.0183,0.0107
2023306,NA,0.0198,NA,NA,NA,0.1902,NA,NA,NA,NA
2023299,0.3305,0.1477,0.0193,0.1857,0.1412,0.1279,0.0907,0.1999,0.5321,0.0377
2023298,NA,0.0817,NA,NA,NA,0.016,NA,NA,NA,NA
2023291,0.0118,0.0651,0.0127,0.0198,0.0105,0.0142,0.014,0.0114,0.0111,0.0126
2023290,NA,0.0655,NA,NA,NA,0.0134,NA,NA,NA,NA
2023283,0.0146,0.038,0.0203,0.0239,0.0225,0.1975,0.0081,0.0292,0.0143,0.0841
2023275,0.0129,0.0731,0.3398,0.0616,0.0129,3e-04,0.016,0.1693,0.0145,0.0516
2023274,NA,0.0719,NA,NA,NA,-0.0035,NA,NA,NA,NA
2023267,0.3926,0.9085,0.7196,0.2041,0.9308,0.9378,0.9535,0.7279,0.9169,0.9116
2023266,NA,0.0733,NA,NA,NA,0.1448,NA,NA,NA,NA
2023259,0.0093,0.0793,0.0743,0.0209,0.0143,0.2267,0.0163,-0.0231,0.014,0.0139
2023258,NA,0.0508,NA,NA,NA,0.0172,NA,NA,NA,NA
2023251,0.0164,0.0656,0.0169,0.0198,0.0222,0.028,0.0172,0.0158,0.0162,0.0721
2023250,NA,0.0792,NA,NA,NA,0.0218,NA,NA,NA,NA
2023243,0.0156,-0.0349,0.0144,0.0269,0.0081,0.5003,0.0141,0.0212,0.0178,0.0193
2023242,NA,0.6331,NA,NA,NA,0.7477,NA,NA,NA,NA
2023235,0.6074,0.0929,0.0237,0.0292,0.0161,0.0281,0.0204,0.0444,0.0222,0.0235
2023234,NA,0.0912,NA,NA,NA,0.0381,NA,NA,NA,NA
