"DOY","White_1","White_2","White_3","White_4","White_5","White_6","White_7","White_8","White_9","White_10"
2023002,0.0315,0.11,0.0147,0.0213,0.0065,0.0215,0.0212,NA,NA,0.0293
2023330,0.1046,0.0047,0.0161,0.034,0.0097,0.2332,0.035,NA,NA,0.0126
2023323,0.0282,0.0193,0.0139,0.0172,0.0139,0.0184,0.0175,0.0193,0.0113,0.0156
2023322,0.0217,0.0182,0.2044,0.016,0.0114,0.1044,0.0164,NA,NA,0.0148
2023315,0.0741,0.0098,0.0534,0.0514,0.0124,0.0213,0.1166,0.0326,0.0133,0.0147
2023314,0.0267,0.0082,0.0151,0.0181,0.0125,0.0191,0.0182,NA,NA,0.0099
2023307,0.0397,0.0291,0.011,0.0239,0.0175,0.0693,0.0248,0.2154,0.0192,0.0197
2023306,0.0335,0.0689,0.0475,0.0222,0.0241,0.124,0.021,NA,NA,0.02
2023299,0.0923,0.1458,0.014,0.024,0.0206,0.1852,0.8284,1.0349,0.3525,0.0292
2023298,0.0413,0.0254,0.0163,0.0241,0.0153,0.0259,0.0202,NA,NA,0.0206
2023291,0.0294,0.0213,0.0149,0.019,0.0139,0.0199,0.0185,0.0241,0.0123,0.0149
2023290,0.0262,0.0199,0.0142,0.0178,0.0136,0.0187,0.0169,NA,NA,0.0143
2023283,0.0654,0.032,0.033,0.0435,0.2278,0.0569,0.0677,0.0434,0.4174,0.0307
2023275,0.0334,0.1368,0.0172,0.0126,0.0192,0.0235,0.3438,0.0258,0.0043,0.1774
2023274,0.4587,0.0241,0.0044,0.0425,9e-04,0.0367,-0.0293,NA,NA,0.0067
2023267,0.8524,0.9848,0.7935,0.652,0.9704,0.8742,0.6677,0.2467,0.9919,1.0026
2023266,0.0513,0.047,0.0139,0.0288,0.1074,0.0536,0.0841,NA,NA,0.0591
2023259,0.3378,0.074,0.771,0.6619,0.0174,0.4418,0.5526,0.0284,0.1169,0.0444
2023258,0.0324,0.0242,0.0162,0.0227,0.0158,0.0138,0.002,NA,NA,0.0167
2023251,0.0344,0.0308,0.0212,0.0258,0.0187,0.0263,0.0258,0.0314,0.0141,0.0192
2023250,0.0321,0.0658,0.0132,0.025,0.0174,0.0248,0.5141,NA,NA,0.0182
2023243,0.9318,0.0534,0.0277,0.0425,0.036,0.9295,0.2182,0.0322,0.2593,0.0281
2023242,1.1642,0.0625,0.685,-0.0301,0.0196,1.1301,0.0028,NA,NA,0.6682
2023235,0.0379,0.0309,-0.0087,0.029,0.012,0.0303,0.0142,0.5529,0.0179,0.008
2023234,0.0414,0.0384,0.1144,0.0355,0.0312,0.0346,0.0346,NA,NA,0.0277
2023227,0.0256,0.0147,0.1293,0.0303,0.0229,0.2154,0.0318,0.0438,0.0163,0.0215
2023226,0.0395,0.0318,0.0298,0.1501,0.0248,0.0325,0.0184,NA,NA,0.0241
2023219,0.0376,0.0277,0.0216,0.4958,0.0216,0.0301,9e-04,0.0379,0.5226,0.2218
2023218,0.032,0.0273,0.0193,0.0269,0.0373,0.0263,0.025,NA,NA,0.6557
2023211,0.0212,0.0298,0.0286,0.0412,0.0201,0.0159,0.0358,0.0631,0.1112,0.0578
2023210,0.161,0.174,0.1241,0.0818,0.0681,0.1434,0.1874,NA,NA,0.629
2023203,0.0401,0.0394,0.0259,0.0369,0.0332,0.0397,0.0359,0.0496,0.0179,0.0746
2023202,0.2194,0.1527,0.8347,0.7484,0.75,0.4711,0.8674,NA,NA,0.0953
2023195,0.0599,0.0319,0.0269,0.0364,0.0248,0.0495,0.0347,0.0236,0.0165,0.8475
2023194,0.046,0.0627,0.0265,0.0334,0.0278,0.0353,0.0315,NA,NA,0.0502
2023187,0.0772,0.0318,0.0272,0.0366,0.025,0.0397,0.0329,0.0384,0.0152,0.0242
2023186,0.0401,0.0258,0.0069,0.4241,NA,0.0335,0.0347,NA,NA,0.0247
2023178,0.2157,0.0234,0.0356,0.0131,0.0197,0.4671,0.0151,NA,NA,0.034
2023171,0.0526,0.0341,0.0056,0.0371,0.0286,0.0492,0.0419,0.0291,0.0075,0.0253
2023170,0.0556,0.0373,0.0103,0.0404,0.0268,0.1442,0.0404,NA,NA,0.0305
2023163,0.1005,0.0187,0.011,0.0375,0.0243,0.0592,0.3537,0.0376,0.0388,0.0258
2023162,0.0458,0.0243,0.048,0.3436,0.0211,0.0363,0.0274,NA,NA,0.004
2023154,0.5699,0.9973,0.1354,0.0573,NA,0.5689,0.0788,NA,NA,0.6428
2023147,0.0723,0.1005,0.1167,0.0376,0.0325,0.0423,0.0377,0.048,0.0244,0.0466
2023146,0.0467,0.8262,0.4025,0.5759,0.8578,0.0367,0.0271,NA,NA,0.3258
2023139,0.0491,0.5141,0.0254,0.1999,0.0026,0.0444,0.2524,0.0439,0.0133,0.0452
2023138,0.0437,0.029,0.0236,0.032,NA,0.0355,0.0337,NA,NA,0.0254
2023131,0.0513,0.0382,0.0253,0.2045,0.0279,0.038,0.0862,0.3998,0.0199,0.0255
2023130,0.0489,0.0312,0.1259,0.2632,NA,0.0348,0.0186,NA,NA,0.0241
2023123,0.1209,0.0319,0.0271,0.0422,0.0215,0.0779,0.0423,0.1924,0.0185,0.0267
2023122,0.0424,0.0267,0.0221,0.0328,0.0217,0.0332,0.0329,NA,NA,0.0232
2023115,0.116,0.0236,0.1227,0.1813,0.2173,0.1174,0.1811,0.2982,0.0883,0.0294
2023114,0.1068,0.0279,0.1903,0.5127,NA,0.0932,0.2815,NA,NA,0.6077
2023107,0.6606,0.0282,0.5171,0.037,0.0361,0.7273,0.2874,0.0389,0.0358,0.0139
2023106,0.0441,0.0267,0.0201,0.0282,0.0201,0.0323,0.0295,NA,NA,0.0338
2023099,-0.0126,0.0281,0.0341,0.7234,0.0203,0.3801,0.8974,0.9146,0.3396,0.0231
2023098,0.0478,0.1592,0.0216,0.0477,0.0834,0.0303,0.0317,NA,NA,0.9199
2023091,0.0869,0.097,0.0236,0.0319,0.5181,0.0097,0.0343,0.2461,0.0186,0.0421
2023090,0.0406,0.0268,0.0205,0.0283,0.0133,0.0295,0.0296,NA,NA,0.021
2023083,0.0518,0.0283,0.4934,0.1067,0.1694,0.4474,0.6059,0.3747,0.009,0.0251
2023082,0.0146,0.027,0.022,0.0073,0.3487,0.0333,0.4671,NA,NA,0.5189
2023074,0.7382,0.8058,0.7333,0.736,0.7674,0.7429,0.9219,NA,NA,0.7253
2023067,0.0426,0.0281,0.0199,0.0283,0.0194,0.0302,0.0291,0.0357,0.0144,0.0205
2023066,0.0406,0.0349,0.0176,0.0272,0.0553,0.0291,0.0266,NA,NA,0.0192
2023059,0.0402,0.0218,0.0175,0.0247,0.0151,0.0265,0.0253,0.0319,0.0134,0.0175
2023058,0.0383,0.021,0.0184,0.0251,NA,0.0395,0.0254,NA,NA,0.1086
2023051,0.0387,0.0223,0.017,0.0235,0.017,0.0261,0.0253,0.0019,0.0143,0.0168
2023050,0.0356,-0.0124,0.0165,0.0232,NA,0.0244,0.0256,NA,NA,0.1467
2023043,0.3248,0.5988,0.7098,0.7036,0.3732,0.6824,0.5197,0.4692,0.2928,0.1176
2023042,0.0412,NA,0.0194,0.0258,NA,0.0117,0.0273,NA,NA,NA
2023035,0.0308,0.3053,0.1557,0.0611,0.3363,0.1394,0.0174,0.0228,0.5289,0.2115
2023034,0.0363,0.0168,0.0156,0.0219,NA,0.0242,0.021,NA,NA,0.016
2023026,0.0709,0.4246,0.1755,0.0875,0.0178,0.142,0.0686,NA,NA,0.4427
2023019,0.0367,0.021,0.0168,0.0226,0.0152,0.0243,0.0265,0.0298,0.0149,0.0167
2023018,0.0313,0.0171,0.0156,0.0205,0.0109,0.0196,0.0213,NA,NA,0.0135
2023011,0.0339,0.0184,0.0147,0.0191,0.0116,0.021,0.0218,0.0258,0.0119,0.0139
2023010,0.032,0.0176,0.0212,0.0202,0.0116,0.0213,0.0219,NA,NA,0.0135
2023003,0.0402,0.006,0.0034,0.1718,0.0139,0.0267,0.0232,0.0287,1.0388,0.0158
2023363,0.1149,0.0787,0.0425,0.0561,0.0517,0.1034,0.0814,0.0599,0.0529,0.0437
2023355,0.0197,0.1345,0.0295,0.2921,0.2337,0.0312,0.3029,0.6881,0.2484,0.0861
2023354,0.3174,0.032,0.4277,0.1829,NA,0.4323,0.6816,NA,NA,0.046
2023346,0.289,0.4581,0.2042,0.1902,0.736,0.31,0.1557,NA,NA,0.3864
2023316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023339,0.092,0.0337,0.0551,0.0476,0.0233,0.0843,0.0513,0.0243,0.0154,0.0414
2023276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023338,0.42,0.4744,0.42,0.174,0.6887,0.6442,0.0137,NA,NA,0.7774
2023180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023331,0.0275,0.0176,0.013,0.0154,0.0125,0.018,0.0158,0.0187,0.0096,0.014
2023108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
