"DOY","Red_1","Red_2","Red_3","Red_4","Red_5","Red_6","Red_7","Red_8","Red_9","Red_10"
2023002,NA,0.432432432432432,NA,NA,NA,0.93351142772336,NA,NA,NA,NA
2023003,0.93525721455458,0.195363302233531,0.243126821234005,0.771393265369169,0.00789000138421082,0.0431338028169014,0.889869181624582,0.456953642384106,0.920766442257898,0.561233746598125
2023004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023010,NA,0.484792054624457,NA,NA,NA,0.919246298788694,NA,NA,NA,NA
2023011,0.943986820428336,0.465890183028286,0.927910685805423,0.854545454545454,0.944128017358286,0.931325301204819,0.922103213242454,0.937062937062937,0.93322528363047,0.929568527918782
2023012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023018,NA,0.415011037527594,NA,NA,NA,0.91921664626683,NA,NA,NA,NA
2023019,0.920464973998165,0.110169491525424,0.735849056603774,0.839545615903443,0.930591259640103,0.220924057355284,0.902782023845919,0.764705882352941,0.919169852539596,0.910429816651638
2023020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023026,NA,0.0804810360777058,NA,NA,NA,0.713039263208919,NA,NA,NA,NA
2023028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023034,NA,0.465020576131687,NA,NA,NA,0.921470863197258,NA,NA,NA,NA
2023035,0.923909862452444,0.178479931682323,0.901639344262295,0.799610894941634,0.0109306683322923,0.929012345679012,0.0379349046015712,0.260183968462549,0.896666666666667,0.823953823953824
2023036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023042,NA,0.464579901153213,NA,NA,NA,0.89320987654321,NA,NA,NA,NA
2023043,0.00535423294793204,0.0220104379396415,0.0439050039435633,0.132453151618399,0.316863587540279,-0.00305073859987157,0.889946214315267,0.0361213396458005,0.0841429277128272,0.0783204525535813
2023044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023050,NA,0.370047543581616,NA,NA,NA,0.632146357399543,NA,NA,NA,NA
2023051,0.936791890280262,0.44770959377701,0.911295469049138,0.819138755980861,0.93687707641196,0.903935543848776,0.913142857142857,0.916195543731294,0.919770773638968,0.913171017893811
2023052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023058,NA,0.472463768115942,NA,NA,NA,0.912609238451935,NA,NA,NA,NA
2023059,0.927847346451998,0.454315789473684,0.911630929174789,0.82295523392797,0.927431806484817,0.902660217654172,0.905727923627685,0.919082939986514,0.924874791318865,0.918090748379493
2023060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023066,NA,0.441502988898377,NA,NA,NA,0.873704052780396,NA,NA,NA,NA
2023067,0.920679886685552,0.46,0.895755305867665,0.795822102425876,0.915358744394619,0.87673343605547,0.893167701863354,0.894144889182931,0.921856639247944,0.894294294294294
2023068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023074,NA,-0.0119229593396515,NA,NA,NA,-0.0103092783505155,NA,NA,NA,NA
2023076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023082,NA,0.220410310362967,NA,NA,NA,0.0663635379452203,NA,NA,NA,NA
2023083,0.884722222222222,0.454682211357653,0.0511886170397363,0.819298694650627,0.918751434473261,0.878805620608899,0.456723091664005,0.229123817359111,0.898778359511344,0.896174863387978
2023084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023090,NA,0.350626891482923,NA,NA,NA,0.886610373944512,NA,NA,NA,NA
2023091,0.902578796561605,0.382675438596491,0.89351081530782,0.793066088840737,0.855714285714286,0.87102633969119,0.188425485667708,0.326865671641791,0.836141241633972,0.894609620497945
2023092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023098,NA,0.45489006823351,NA,NA,NA,0.892535733192165,NA,NA,NA,NA
2023099,0.913757700205339,0.469496021220159,0.907237813884786,0.800798801797304,0.926348547717842,0.882287924841116,0.893296089385475,0.901234567901234,0.913184146670261,0.90870904508541
2023100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023106,NA,0.261428571428571,NA,NA,NA,0.888530927835052,NA,NA,NA,NA
2023107,0.896485971125034,-0.0289249289416485,0.790940766550523,0.327966101694915,0.930627975515756,-0.0407548158825842,0.8954180688584,0.885491606714628,0.725974739154311,0.761534473820633
2023108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023114,NA,0.240491165019467,NA,NA,NA,0.703918722786647,NA,NA,NA,NA
2023115,0.247901016349978,0.121769691957825,0.0781517398745008,0.0409448818897638,0.35028901734104,0.242600116076611,0.40558992959249,0.0698257204693018,0.446888160973327,0.444367337497108
2023116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023122,NA,0.225190839694656,NA,NA,NA,0.867660764212488,NA,NA,NA,NA
2023123,0.862145636464703,0.294247787610619,0.864758698092031,0.700242718446602,0.893773824650572,0.813895001571833,0.844507042253521,0.856845856845857,0.889368591473287,0.873375725739563
2023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023130,NA,0.385514018691589,NA,NA,NA,0.858315597446032,NA,NA,NA,NA
2023131,0.8894256575416,0.402222222222222,0.871490280777538,0.762651141961487,0.91451568137663,0.840579710144928,0.886279357231149,0.871113623516111,0.862917398945519,0.880952380952381
2023132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023138,NA,0.326975476839237,NA,NA,NA,0.886162904808636,NA,NA,NA,NA
2023139,0.912129002103295,0.391304347826087,0.902792696025779,0.695108695652174,0.992887624466572,0.869997313994091,0.886542239685658,0.904201680672269,0.0408254822790489,0.950413223140496
2023140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023146,NA,0.43940990516333,NA,NA,NA,0.873167981961668,NA,NA,NA,NA
2023147,0.89963973237262,0.436941764916041,0.889864325618516,0.657810218978102,0.883552631578947,0.856283422459893,0.895619757688723,0.884831460674157,0.894713848842289,0.59666472755478
2023148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
